student_ID,Age,Gender,daily_screen_time_hours,social_media_hours,online_study_hours,gaming_hours,sleep_hours,attendance_percentage,offline_study_hours,previous_sem_CGPA,current_sem_CGPA
S127,17,Female,7.3,2.9,2.7,1.5,6.5,74,2.5,7.24,7.44
S128,22,Male,6,2.4,4,1.2,6.1,71,2.4,6.99,7.19
S129,20,Male,7.1,2.8,2.9,1.4,6.6,69,2.3,6.79,6.99
S130,22,Female,4.5,1.8,5.5,0.9,8.5,89,3,8.79,8.99
S131,24,Male,7.7,3.1,2.3,1.5,6.7,72,2.4,7.04,7.24
S132,22,Male,8.3,3.3,1.7,1.7,5.8,66,2.2,6.46,6.66
S133,23,Male,6.4,2.6,3.6,1.3,7.1,69,2.3,6.72999999999999,6.93
S134,17,Male,9,3.6,1,1.8,5.8,56,1.9,5.42,5.62
S135,20,Male,7.6,3,2.4,1.5,7.2,76,2.5,7.41,7.61
S136,25,Male,8.4,3.4,1.6,1.7,5.9,62,2.1,6.03,6.23
S137,22,Male,6.2,2.5,3.8,1.2,6.9,75,2.5,7.38,7.58
S138,23,Female,9.6,3.8,0.4,1.9,5.3,55,1.8,5.31,5.51
S139,23,Male,5,2,5,1,7.4,81,2.7,7.97,8.17
S140,24,Male,4.5,1.8,5.5,0.9,7.6,88,2.9,8.65,8.85
S141,22,Male,9.4,3.8,0.6,1.9,6.4,62,2.1,6.05,6.25
S142,24,Female,6.9,2.8,3.1,1.4,7.2,76,2.6,7.47,7.67
S143,20,Male,5.7,2.3,4.3,1.1,7.3,93,3.1,9.14,9.34
S144,22,Male,5.2,2.1,4.8,1,7.8,92,3.1,9.07,9.27
S145,17,Female,7,2.8,3,1.4,6.5,79,2.6,7.72,7.92
S146,24,Female,6,2.4,4,1.2,6.1,69,2.3,6.76,6.96
S147,24,Female,4.5,1.8,5.5,0.9,7,80,2.7,7.88,8.08
S148,21,Female,6.5,2.6,3.5,1.3,7.4,72,2.4,7.02,7.22
S149,24,Female,9.9,4,0.1,2,5.6,57,1.9,5.56999999999999,5.77
S150,21,Female,7.4,3,2.6,1.5,6.2,78,2.6,7.60999999999999,7.81
S151,20,Male,8.8,3.5,1.2,1.8,5.3,65,2.2,6.37,6.57
S152,24,Female,9.3,3.7,0.7,1.9,6.2,60,2,5.81,6.01
S153,25,Male,9.4,3.8,0.6,1.9,5.8,63,2.1,6.10999999999999,6.31
S154,24,Male,9.4,3.8,0.6,1.9,5.8,60,2,5.8,6
S155,24,Female,7.3,2.9,2.7,1.5,6.5,73,2.4,7.12,7.32
S156,23,Male,4.8,1.9,5.2,1,7.9,93,3.1,9.19,9.39
S157,23,Male,8.7,3.5,1.3,1.7,5.5,57,1.9,5.5,5.7
S158,17,Female,4.2,1.7,5.8,0.8,8.1,89,3,8.74,8.94
S159,20,Female,8.9,3.6,1.1,1.8,6.3,56,1.9,5.43999999999999,5.64
S160,18,Male,7,2.8,3,1.4,6.7,74,2.5,7.25,7.45
S161,20,Male,7.8,3.1,2.2,1.6,6.8,76,2.5,7.43,7.63
S162,24,Female,9.8,3.9,0.2,2,5.3,59,2,5.75,5.95
S163,20,Male,4.6,1.8,5.4,0.9,8.1,83,2.8,8.11,8.31
S164,25,Female,9.5,3.8,0.5,1.9,5.2,64,2.1,6.22,6.42
S165,17,Female,4.5,1.8,5.5,0.9,8.3,80,2.7,7.81,8.01
S166,25,Male,5.4,2.2,4.6,1.1,7.3,81,2.7,7.93,8.13
S167,25,Male,9.2,3.7,0.8,1.8,5.9,61,2.1,5.97,6.17
S168,19,Male,6,2.4,4,1.2,6,77,2.6,7.56,7.76
S169,18,Male,6.5,2.6,3.5,1.3,7.4,78,2.6,7.64,7.84
S170,22,Female,8.4,3.4,1.6,1.7,5.3,60,2,5.89,6.09
S171,17,Male,7.5,3,2.5,1.5,6.1,70,2.3,6.8,7
S172,17,Male,7.5,3,2.5,1.5,6,75,2.5,7.35999999999999,7.56
S173,24,Male,9.9,4,0.1,2,5.8,61,2,5.89999999999999,6.1
S174,24,Male,5.8,2.3,4.2,1.2,7.6,84,2.8,8.22,8.42
S175,19,Female,6.1,2.4,3.9,1.2,6.9,73,2.5,7.16,7.36
S176,17,Female,5.8,2.3,4.2,1.2,7.8,92,3.1,9.03,9.23
S177,23,Male,7,2.8,3,1.4,6.2,77,2.6,7.52,7.72
S178,17,Male,8.5,3.4,1.5,1.7,6.3,58,2,5.64999999999999,5.85
S179,17,Male,9.9,4,0.1,2,6.3,65,2.2,6.39,6.59
S180,22,Male,5.3,2.1,4.7,1.1,8,82,2.8,8.06,8.26
S181,18,Male,8.8,3.5,1.2,1.8,6,57,1.9,5.53,5.73
S182,20,Male,5.5,2.2,4.5,1.1,8.3,92,3.1,9.04,9.24
S183,23,Female,4.8,1.9,5.2,1,7.5,86,2.9,8.41,8.61
S184,20,Male,4.5,1.8,5.5,0.9,7,82,2.7,8.02,8.22
S185,18,Male,6.5,2.6,3.5,1.3,7.2,78,2.6,7.67,7.87
S186,25,Female,7.5,3,2.5,1.5,6.9,71,2.4,6.92,7.12
S187,17,Female,9.2,3.7,0.8,1.8,6.5,57,1.9,5.59,5.79
S188,18,Male,7.4,3,2.6,1.5,6.7,79,2.7,7.78,7.98
S189,23,Male,7.1,2.8,2.9,1.4,7,76,2.6,7.49,7.69
S190,18,Male,4.8,1.9,5.2,1,8.5,94,3.2,9.27,9.47
S191,20,Male,8.1,3.2,1.9,1.6,5.8,65,2.2,6.37,6.57
S192,23,Male,5.6,2.2,4.4,1.1,8,89,3,8.71,8.91
S193,24,Female,4.1,1.6,5.9,0.8,8.4,80,2.7,7.87,8.07
S194,21,Female,7.6,3,2.4,1.5,6.3,76,2.5,7.39999999999999,7.6
S195,17,Male,8.6,3.4,1.4,1.7,5.5,60,2,5.85,6.05
S196,20,Male,4.5,1.8,5.5,0.9,7.1,93,3.1,9.14,9.34
S197,24,Female,8.3,3.3,1.7,1.7,6.4,62,2.1,6.09,6.29
S198,19,Male,4.8,1.9,5.2,1,7.4,87,2.9,8.57,8.77
S199,25,Female,9,3.6,1,1.8,6.4,66,2.2,6.39999999999999,6.6
S200,25,Male,6.8,2.7,3.2,1.4,6.5,72,2.4,7.01,7.21
S201,18,Male,8.1,3.2,1.9,1.6,5.4,60,2,5.87,6.07
S202,21,Female,4,1.6,6,0.8,7,97,3.2,9.54,9.74
S203,23,Male,8.8,3.5,1.2,1.8,6.2,67,2.2,6.55,6.75
S204,21,Male,5.1,2,4.9,1,8.3,88,3,8.68,8.88
S205,18,Male,8,3.2,2,1.6,6.3,64,2.1,6.2,6.4
S206,23,Male,7.9,3.2,2.1,1.6,6.1,76,2.5,7.43,7.63
S207,23,Male,5.1,2,4.9,1,8.4,89,3,8.74,8.94
S208,20,Male,5.2,2.1,4.8,1,7.6,80,2.7,7.82999999999999,8.03
S209,19,Female,6.7,2.7,3.3,1.3,7,74,2.5,7.22999999999999,7.43
S210,23,Male,4.7,1.9,5.3,0.9,8,79,2.6,7.75,7.95
S211,25,Male,4.4,1.8,5.6,0.9,7.8,84,2.8,8.23,8.43
S212,23,Male,7.8,3.1,2.2,1.6,6.9,78,2.6,7.66,7.86
S213,19,Male,9.2,3.7,0.8,1.8,6.3,55,1.8,5.33,5.53
S214,25,Female,10,4,0,2,6.2,59,2,5.76,5.96
S215,23,Female,9.2,3.7,0.8,1.8,6.2,67,2.3,6.58,6.78
S216,18,Female,8.4,3.4,1.6,1.7,5.2,58,1.9,5.60999999999999,5.81
S217,25,Male,8.3,3.3,1.7,1.7,5.4,62,2.1,6.06999999999999,6.27
S218,21,Male,6.3,2.5,3.7,1.3,6.3,76,2.5,7.42,7.62
S219,18,Male,5.6,2.2,4.4,1.1,8.5,89,3,8.78,8.98
S220,21,Male,8.5,3.4,1.5,1.7,5.6,55,1.9,5.38,5.58
S221,25,Male,7.1,2.8,2.9,1.4,6.3,70,2.4,6.88,7.08
S222,23,Male,9.7,3.9,0.3,1.9,6.2,65,2.2,6.37,6.57
S223,19,Female,7.1,2.8,2.9,1.4,6.8,75,2.5,7.31999999999999,7.52
S224,22,Male,6.9,2.8,3.1,1.4,7.3,80,2.7,7.8,8
S225,18,Male,5.3,2.1,4.7,1.1,7.9,88,3,8.67,8.87
S226,19,Male,9.3,3.7,0.7,1.9,5.2,58,2,5.64999999999999,5.85
S227,21,Male,9.1,3.6,0.9,1.8,5.5,55,1.8,5.35,5.55
S228,21,Female,4.5,1.8,5.5,0.9,7.6,86,2.9,8.42,8.62
S229,17,Female,7,2.8,3,1.4,6.3,69,2.3,6.7,6.9
S230,19,Female,7,2.8,3,1.4,6.9,73,2.5,7.18,7.38
S231,22,Female,8,3.2,2,1.6,6.3,62,2.1,6.01,6.21
S232,25,Male,8.8,3.5,1.2,1.8,6.3,63,2.1,6.16,6.36
S233,21,Male,8.1,3.2,1.9,1.6,6.1,63,2.1,6.1,6.3
S234,21,Female,9.8,3.9,0.2,2,6.3,61,2,5.91,6.11
S235,18,Female,9.5,3.8,0.5,1.9,5.8,55,1.8,5.3,5.5
S236,18,Female,4.5,1.8,5.5,0.9,7.8,84,2.8,8.25,8.45
S237,23,Female,4.1,1.6,5.9,0.8,7.2,94,3.1,9.24,9.44
S238,22,Female,6.6,2.6,3.4,1.3,6.6,78,2.6,7.60999999999999,7.81
S239,22,Male,5,2,5,1,8.4,93,3.1,9.14,9.34
S240,18,Female,7.5,3,2.5,1.5,6.9,72,2.4,7.02,7.22
S241,20,Male,9.8,3.9,0.2,2,6.1,67,2.3,6.56,6.76
S242,23,Female,6.3,2.5,3.7,1.3,7.2,68,2.3,6.68,6.88
S243,25,Male,5,2,5,1,8.4,87,2.9,8.54,8.74
S244,20,Female,7.2,2.9,2.8,1.4,6.4,77,2.6,7.59,7.79
S245,21,Male,4.8,1.9,5.2,1,8.4,95,3.2,9.34,9.54
S246,21,Male,6.5,2.6,3.5,1.3,6.6,75,2.5,7.37,7.57
S247,19,Female,5.9,2.4,4.1,1.2,8.1,84,2.8,8.24,8.44
S248,25,Male,9.2,3.7,0.8,1.8,5.8,64,2.1,6.22999999999999,6.43
S249,20,Male,4.5,1.8,5.5,0.9,7.7,81,2.7,7.90999999999999,8.11
S250,19,Female,7.8,3.1,2.2,1.6,6,69,2.3,6.76,6.96
S251,20,Female,8.8,3.5,1.2,1.8,5.2,61,2,5.93,6.13
S252,22,Male,7.4,3,2.6,1.5,6.2,70,2.4,6.87,7.07
S253,24,Male,5.6,2.2,4.4,1.1,7.5,94,3.1,9.2,9.4
S254,25,Male,4.4,1.8,5.6,0.9,7.7,85,2.9,8.38,8.58
S255,24,Male,9.7,3.9,0.3,1.9,6.1,66,2.2,6.47999999999999,6.68
S256,22,Female,5.5,2.2,4.5,1.1,7.2,97,3.3,9.57,9.77
S257,18,Male,8.2,3.3,1.8,1.6,5,62,2.1,6.03,6.23
S258,22,Male,4.5,1.8,5.5,0.9,7,85,2.8,8.3,8.5
S259,18,Female,4.8,1.9,5.2,1,8,89,3,8.74,8.94
S260,22,Male,5,2,5,1,8,80,2.7,7.81,8.01
S261,24,Female,9.6,3.8,0.4,1.9,5.8,55,1.9,5.37,5.57
S262,20,Female,8.3,3.3,1.7,1.7,5.5,65,2.2,6.34,6.54
S263,25,Female,7.3,2.9,2.7,1.5,6.7,77,2.6,7.58,7.78
S264,25,Male,8.4,3.4,1.6,1.7,5.1,56,1.9,5.41,5.61
S265,23,Male,7.7,3.1,2.3,1.5,6.7,71,2.4,6.99,7.19
S266,19,Female,8,3.2,2,1.6,5.8,61,2.1,5.95,6.15
S267,19,Male,6,2.4,4,1.2,6.7,74,2.5,7.25,7.45
S268,17,Female,5.3,2.1,4.7,1.1,7.3,86,2.9,8.44,8.64
S269,20,Female,9.8,3.9,0.2,2,6.3,60,2,5.84,6.04
S270,19,Female,6.2,2.5,3.8,1.2,6.1,79,2.7,7.79,7.99
S271,18,Male,7.5,3,2.5,1.5,6.6,68,2.3,6.64,6.84
S272,22,Male,9.4,3.8,0.6,1.9,5.4,60,2,5.85,6.05
S273,19,Female,5.3,2.1,4.7,1.1,7.9,90,3,8.85,9.05
S274,23,Male,8.3,3.3,1.7,1.7,5.3,66,2.2,6.47999999999999,6.68
S275,23,Male,9.1,3.6,0.9,1.8,5.4,61,2,5.93999999999999,6.14
S276,25,Female,8,3.2,2,1.6,6,56,1.9,5.42,5.62
S277,24,Female,5.5,2.2,4.5,1.1,7.5,91,3,8.91,9.11
S278,22,Female,9.8,3.9,0.2,2,5.4,60,2,5.89,6.09
S279,17,Male,6,2.4,4,1.2,7,73,2.4,7.14,7.34
S280,20,Female,5.5,2.2,4.5,1.1,8.1,90,3,8.83,9.03
S281,17,Male,4.2,1.7,5.8,0.8,8,92,3.1,9.07,9.27
S282,20,Female,8.2,3.3,1.8,1.6,6.3,60,2,5.88,6.08
S283,17,Male,9.9,4,0.1,2,5.3,56,1.9,5.46,5.66
S284,17,Male,5.3,2.1,4.7,1.1,7.1,81,2.7,7.96,8.16
S285,18,Male,4.2,1.7,5.8,0.8,8.5,81,2.7,7.89999999999999,8.1
S286,23,Female,7.8,3.1,2.2,1.6,6.7,78,2.6,7.64,7.84
S287,18,Female,7.2,2.9,2.8,1.4,6.2,69,2.3,6.75,6.95
S288,24,Male,8.4,3.4,1.6,1.7,5.3,57,1.9,5.51,5.71
S289,17,Male,6.7,2.7,3.3,1.3,6.3,78,2.6,7.64,7.84
S290,17,Female,9.9,4,0.1,2,5,59,2,5.79,5.99
S291,25,Female,9.2,3.7,0.8,1.8,5,62,2.1,6.04,6.24
S292,21,Male,9.5,3.8,0.5,1.9,6.4,62,2.1,6.08,6.28
S293,25,Male,4.6,1.8,5.4,0.9,8.5,91,3,8.92,9.12
S294,20,Female,6.4,2.6,3.6,1.3,7.2,78,2.6,7.64,7.84
S295,18,Female,6.4,2.6,3.6,1.3,7,71,2.4,6.99,7.19
S296,24,Female,9.3,3.7,0.7,1.9,6.3,59,2,5.71,5.91
S297,23,Male,7.3,2.9,2.7,1.5,6.5,68,2.3,6.60999999999999,6.81
S298,17,Male,8.2,3.3,1.8,1.6,5.7,60,2,5.81,6.01
S299,18,Female,5.4,2.2,4.6,1.1,7.9,79,2.6,7.75,7.95
S300,22,Female,7,2.8,3,1.4,7.4,74,2.5,7.25,7.45
S301,21,Male,4.2,1.7,5.8,0.8,7.6,84,2.8,8.28,8.48
S302,18,Female,7.2,2.9,2.8,1.4,7.1,75,2.5,7.33,7.53
S303,21,Female,9.7,3.9,0.3,1.9,5.3,55,1.8,5.31999999999999,5.52
S304,21,Male,9.7,3.9,0.3,1.9,5.6,63,2.1,6.14999999999999,6.35
S305,20,Female,6.1,2.4,3.9,1.2,6.7,69,2.3,6.72,6.92
S306,20,Female,5.8,2.3,4.2,1.2,7.8,94,3.1,9.21,9.41
S307,23,Male,8.3,3.3,1.7,1.7,5.6,58,2,5.64999999999999,5.85
S308,17,Female,9.2,3.7,0.8,1.8,5.3,65,2.2,6.34,6.54
S309,23,Female,5.1,2,4.9,1,7.6,96,3.2,9.44,9.64
S310,22,Female,7.3,2.9,2.7,1.5,6.9,68,2.3,6.64999999999999,6.85
S311,24,Female,7.1,2.8,2.9,1.4,7.2,75,2.5,7.31,7.51
S312,21,Female,6.2,2.5,3.8,1.2,7.2,78,2.6,7.68999999999999,7.89
S313,25,Female,5.6,2.2,4.4,1.1,7.6,94,3.2,9.25,9.45
S314,17,Male,8.6,3.4,1.4,1.7,5.6,56,1.9,5.49,5.69
S315,21,Male,9.2,3.7,0.8,1.8,5.8,61,2,5.91,6.11
S316,25,Female,5.4,2.2,4.6,1.1,8,82,2.7,8.01,8.21
S317,19,Female,4.9,2,5.1,1,7.9,83,2.8,8.15,8.35
S318,24,Female,6.6,2.6,3.4,1.3,7,76,2.6,7.46,7.66
S319,20,Female,8.9,3.6,1.1,1.8,5.5,62,2.1,6.08,6.28
S320,22,Male,7.9,3.2,2.1,1.6,6.6,75,2.5,7.31,7.51
S321,21,Female,7.7,3.1,2.3,1.5,7.2,73,2.4,7.13,7.33
S322,19,Female,9.3,3.7,0.7,1.9,5.8,63,2.1,6.14999999999999,6.35
S323,19,Female,8,3.2,2,1.6,6,67,2.3,6.59,6.79
S324,20,Male,6.7,2.7,3.3,1.3,6.9,72,2.4,7,7.2
S325,25,Male,5.1,2,4.9,1,7.3,91,3.1,8.98,9.18
S326,19,Female,8.5,3.4,1.5,1.7,6,59,2,5.75,5.95
S327,21,Female,6.3,2.5,3.7,1.3,7.5,69,2.3,6.74,6.94
S328,20,Female,9.6,3.8,0.4,1.9,6.3,62,2.1,6,6.2
S329,22,Female,5.5,2.2,4.5,1.1,8.3,93,3.1,9.18,9.38
S330,18,Male,8.3,3.3,1.7,1.7,5.5,55,1.8,5.35,5.55
S331,20,Female,4.5,1.8,5.5,0.9,7.8,96,3.2,9.47,9.67
S332,22,Male,6.7,2.7,3.3,1.3,6.8,75,2.5,7.31999999999999,7.52
S333,22,Female,7.4,3,2.6,1.5,6.6,74,2.5,7.28,7.48
S334,19,Female,7.8,3.1,2.2,1.6,6.8,76,2.5,7.41,7.61
S335,18,Male,5.3,2.1,4.7,1.1,7.5,94,3.1,9.24,9.44
S336,25,Female,8.2,3.3,1.8,1.6,6.5,59,2,5.75,5.95
S337,22,Female,4.8,1.9,5.2,1,8.4,95,3.2,9.32,9.52
S338,21,Female,5,2,5,1,7.6,88,2.9,8.61,8.81
S339,20,Female,4.4,1.8,5.6,0.9,7.2,78,2.6,7.64999999999999,7.85
S340,23,Male,5.7,2.3,4.3,1.1,7,95,3.2,9.3,9.5
S341,18,Female,6.3,2.5,3.7,1.3,6.3,74,2.5,7.28,7.48
S342,23,Male,10,4,0,2,6,55,1.9,5.38,5.58
S343,23,Female,5,2,5,1,8.2,79,2.6,7.75,7.95
S344,17,Male,8.1,3.2,1.9,1.6,5.9,63,2.1,6.1,6.3
S345,23,Female,7.7,3.1,2.3,1.5,6.9,71,2.4,6.97,7.17
S346,23,Male,4.8,1.9,5.2,1,7.7,95,3.2,9.37,9.57
S347,21,Female,6.5,2.6,3.5,1.3,7.1,77,2.6,7.59,7.79
